id,nombre,apellido,cuit,cantidadAfichesACobrar
1,police,late,20-39626870-20,1
2,course,corner,20-39626870-21,2
3,principal,touch,20-39626870-22,2
4,neighborhood,what,20-39626870-23,3
5,consider,health,20-39626870-24,1
6,quite,happen,20-39626870-25,1
7,even,silent,20-39626870-26,1
8,win,bow,20-39626870-27,4
9,rubber,future,20-39626870-28,2
10,mathematics,explanation,20-39626870-29,1
11,pleasure,pink,20-39626870-30,3
12,inch,dull,20-39626870-31,3
13,diameter,audience,20-39626870-32,0
14,corn,swam,20-39626870-33,3
15,made,select,20-39626870-34,2
16,length,plate,20-39626870-35,1
17,queen,rice,20-39626870-36,1
18,fix,failed,20-39626870-37,0
19,pictured,discovery,20-39626870-38,0
20,group,beginning,20-39626870-39,0
21,society,slow,20-39626870-40,0
22,pole,memory,20-39626870-41,0
23,memory,song,20-39626870-42,0
24,rubbed,principal,20-39626870-43,0
25,come,ordinary,20-39626870-44,0
26,particular,fish,20-39626870-45,0
27,until,amount,20-39626870-46,0
28,sunlight,stick,20-39626870-47,0
29,simply,white,20-39626870-48,0
30,brought,rhyme,20-39626870-49,0
31,shallow,ought,20-39626870-50,0
32,Ezequiel,Manzano,20-39626870-51,0
33,Sofa,Gonzalez,20-39626871-21,0
34,Alicia,Finella,30-18604225-20,1
35,Martina,Manzano,21-48233212-12,0
